,0
0,13548
1,29431
2,41794
3,80673
4,61450
5,75457
6,39519
7,10841
8,27657
9,9097
10,59981
11,15961
12,74416
13,63714
14,55640
15,48029
16,16926
17,59836
18,62899
19,42363
20,37489
21,10154
22,81750
23,12330
24,84513
25,59202
26,37293
27,83570
28,16813
29,85846
30,72199
31,53305
32,31164
33,86928
34,89221
35,46694
36,43998
37,70281
38,7571
39,23274
40,70693
41,43976
42,40879
43,30220
44,71961
45,50297
46,18272
47,29384
48,52158
49,47595
50,49360
51,16985
52,67005
53,10783
54,69577
55,18183
56,41177
57,55755
58,89331
59,37029
60,55028
61,48669
62,81105
63,11713
64,84246
65,89079
66,75801
67,87652
68,82847
69,57452
70,54252
71,41128
72,22468
73,39792
74,46871
75,57003
76,81074
77,59553
78,27523
79,18978
80,85522
81,14318
82,52109
83,8205
84,6900
85,30141
86,79491
87,21297
88,45254
89,71812
90,40880
91,48426
92,55365
93,14391
94,66470
95,6683
96,65869
97,5212
98,65524
99,15584
100,17668
101,22990
102,7038
103,42395
104,35455
105,20233
106,73012
107,12312
108,40464
109,51416
110,15539
111,29496
112,25022
113,13835
114,32055
115,46325
116,9998
117,25329
118,31240
119,32213
120,36410
121,48710
122,52667
123,19266
124,15752
125,42594
126,59991
127,18056
128,8360
129,63244
130,87468
131,47651
132,61312
133,84066
134,9706
135,17007
136,27709
137,33294
138,64424
139,29874
140,63517
141,67285
142,74342
143,80370
144,11368
145,73986
146,56333
147,82821
148,47290
149,41926
150,43447
151,42595
152,63678
153,42746
154,12501
155,17204
156,2089
157,9935
158,85448
159,53011
160,15319
161,50577
162,83395
163,80407
164,4746
165,78404
166,88169
167,14654
168,79647
169,78667
170,19408
171,85390
172,78478
173,84725
174,49303
175,72185
176,39652
177,29490
178,39910
179,9498
180,77312
181,47087
182,72288
183,42131
184,14481
185,8925
186,35764
187,8849
188,40360
189,30672
190,53766
191,43094
192,78750
193,22191
194,77669
195,6584
196,87667
197,49475
198,71848
199,61761
200,88384
201,75779
202,76889
203,23171
204,25704
205,38698
206,64470
207,39152
208,72865
209,17818
210,14989
211,65939
212,81984
213,58555
214,41396
215,10107
216,57360
217,43865
218,72501
219,46535
220,16940
221,55605
222,82272
223,86757
224,287
225,26079
226,28150
227,57683
228,41580
229,86402
230,87227
231,83226
232,41996
233,30638
234,54139
235,25047
236,22372
237,76139
238,7468
239,58578
240,49374
241,74214
242,52168
243,5952
244,87919
245,63304
246,11670
247,7153
248,49721
249,31339
250,5359
251,60114
252,70083
253,58978
254,75658
255,85759
256,33588
257,81006
258,14975
259,93
260,60573
261,80416
262,51219
263,59035
264,29445
265,8763
266,54053
267,4557
268,38850
269,4715
270,61403
271,30565
272,6467
273,25709
274,1540
275,3858
276,19942
277,13230
278,88129
279,31306
280,7051
281,9625
282,38037
283,15355
284,26486
285,75806
286,6575
287,72746
288,32935
289,85215
290,20786
291,6110
292,52665
293,48851
294,79431
295,28
296,52952
297,60561
298,60607
299,73686
300,6492
301,45248
302,13417
303,84845
304,24641
305,5686
306,18880
307,40230
308,62848
309,63507
310,76376
311,22986
312,336
313,68460
314,19884
315,74904
316,21009
317,42609
318,85808
319,44129
320,10212
321,39594
322,79525
323,75688
324,12924
325,18988
326,27915
327,22796
328,67516
329,1417
330,48017
331,25514
332,84080
333,14012
334,82062
335,55075
336,70614
337,34260
338,12497
339,36635
340,47870
341,43340
342,53042
343,15186
344,25966
345,78053
346,34069
347,74983
348,31659
349,19587
350,6719
351,23651
352,86801
353,50082
354,30156
355,83715
356,79109
357,60503
358,70433
359,77083
360,29719
361,26013
362,33693
363,14839
364,42489
365,18276
366,75833
367,65998
368,55977
369,25189
370,30822
371,63729
372,27537
373,27325
374,54459
375,25902
376,751
377,72933
378,83267
379,21689
380,11067
381,31483
382,2514
383,81055
384,68284
385,28846
386,67414
387,47472
388,8422
389,8643
390,60813
391,21993
392,48014
393,981
394,32241
395,41517
396,66609
397,51355
398,89645
399,49733
400,35533
401,6422
402,33162
403,28858
404,84848
405,71130
406,15790
407,82024
408,56242
409,22784
410,56464
411,39550
412,34963
413,1273
414,72792
415,7240
416,24291
417,45258
418,18264
419,48170
420,23599
421,39920
422,76924
423,42542
424,67552
425,4890
426,32994
427,59051
428,46232
429,2069
430,68296
431,55179
432,86106
433,62911
434,25885
435,30518
436,61704
437,19847
438,25808
439,66048
440,31220
441,23907
442,87429
443,34362
444,57376
445,34271
446,28057
447,75208
448,16335
449,66747
450,88229
451,87879
452,7224
453,79139
454,23629
455,6512
456,79867
457,83887
458,50542
459,85022
460,30959
461,16502
462,70631
463,75631
464,22016
465,79793
466,81547
467,76910
468,47642
469,48143
470,60002
471,57594
472,51784
473,61947
474,63448
475,86142
476,15366
477,3375
478,47828
479,14042
480,24465
481,25082
482,13674
483,9514
484,81927
485,2710
486,46246
487,79813
488,47707
489,29383
490,19023
491,75999
492,25591
493,63571
494,17535
495,18632
496,52090
497,18210
498,47711
499,60654
